Column,Description
cb_flag,cb_flag: Flag de circumbinario (el planeta orbita un sistema binario)
dec,dec: Declinación de la estrella (en grados decimales)
decstr,decstr: Declinación de la estrella (en grados sexagesimales)
discoverymethod,discoverymethod: Método de descubrimiento del planeta
elat,elat: Latitud eclíptica de la estrella (en grados decimales)
elon,elon: Longitud eclíptica de la estrella (en grados decimales)
glat,glat: Latitud galáctica de la estrella (en grados decimales)
glon,glon: Longitud galáctica de la estrella (en grados decimales)
hd_name,hd_name: Nombre del sistema estelar en el catálogo Henry Draper
hip_name,hip_name: Nombre del sistema estelar en el catálogo Hipparcos
hostname,hostname: Nombre del sistema estelar utilizado en la literatura
pl_bmasse,pl_bmasse: Mejor estimación de la masa del planeta (en masas terrestres)
pl_bmassj,pl_bmassj: Mejor estimación de la masa del planeta (en masas jovianas)
pl_bmassprov,pl_bmassprov: Proveedor de la mejor estimación de la masa del planeta (mínima o proyectada)
pl_cmasse,pl_cmasse: Masa mínima proyectada (en masas terrestres)
pl_cmassj,pl_cmassj: Masa mínima proyectada (en masas jovianas)
pl_dens,pl_dens: Densidad del planeta (en g/cm³)
pl_eqt,pl_eqt: Temperatura de equilibrio del planeta considero como un cuerpo oscur (en grados K)
pl_imppar,pl_imppar: Parámetro de impacto del planeta como distancia proyectada del centro del planeta al centro de la estrella (en radios estelares)
pl_insol,pl_insol: Insolación del planeta en terminos la insolación de la tierra (en W/m²)
pl_letter,pl_letter: Letra del planeta en el sistema (primer planeta es b)
pl_masse,pl_masse: Masa del planeta (en masas terrestres)
pl_massj,pl_massj: Masa del planeta (en masas jovianas)
pl_msinie,pl_msinie: Mínimo de masa medida por el método de velocidad radial (en masas terrestres)
pl_msinij,pl_msinij: Mínimo de masa medida por el método de velocidad radial (en masas jovianas)
pl_name,pl_occdep: Profundidad del eclipse del planeta en terminos de el flujo relativo decreciente frente a su estrella (en %)
pl_occdep,pl_orbeccen: Excentricidad orbital del planeta
pl_orbeccen,pl_orbincl: Inclinación orbital del planeta respecto de la línea de visión desde la Tierra (en grados)
pl_orbincl,pl_orblper: El argumento del periastro del planeta (en grados)
pl_orblper,pl_orbper: Periodo orbital del planeta (en días)
pl_orbper,pl_orbsmax: Distancia orbital semieje mayor (en UA)
pl_orbsmax,pl_orbtper: El momento del paso del planeta por el periastro (en grados)
pl_orbtper,pl_projobliq: Inclinación proyectada del planeta respecto de la línea de visión desde la Tierra (en grados)
pl_projobliq,pl_rade: Radio del planeta (en radios terrestres)
pl_rade,pl_radj: Radio del planeta (en radios jovianos)
pl_radj,pl_ratdor: cociente del semieje orbital mayor sobre el radio estelar
pl_ratdor,pl_ratror: cociente del radio del planeta sobre el radio estelar
pl_ratror,pl_rvamp: Amplitud de la velocidad radial del planeta (en m/s)
pl_rvamp,pl_trandep: Profundidad del tránsito del planeta en terminos de el flujo relativo decreciente frente a su estrella (en %)
pl_trandep,pl_trandur: Duración del tránsito del planeta (en horas)
pl_trandur,pl_tranmid: Tiempo de tránsito medio del planeta respecto de su estrella (en días)
pl_tranmid,pl_trueobliq: Inclinación verdadera del planeta respecto de la línea de visión desde la Tierra (en grados)
pl_trueobliq,pl_tsystemref: Sistema de Tiempo de Referencia del sistema planetario
pl_tsystemref,ra: Ascensión recta de la estrella (en grados decimales)
ra,rastr: Ascensión recta de la estrella (en grados sexagesimales)
rastr,soltype: Disposición del planeta según el conjunto de parámetros planetarios dado
soltype,"st_age: Edad de la estrella (en Ga, gigaaños, o miles de millones de años)"
st_age,st_dens: Densidad de la estrella (en g/cm³)
st_dens,st_logg: Gravedad superficial de la estrella (en logaritmo en base 10 de cm/s²)
st_logg,st_lum: Luminosidad de la estrella (en logartima en base 10 de unidades solares)
st_lum,st_mass: Masa de la estrella (en masas solares)
st_mass,st_met: Medición del contenido de metales en la fotosfera de la estrella en comparación con el contenido de hidrógeno
st_met,st_metratio: Relación de metalicidad de la estrella
st_metratio,st_rad: Radio de la estrella (en radios solares)
st_rad,st_radv: Velocidad radial de la estrella (en km/s)
st_radv,st_rotp: Periodo de rotación de la estrella (en días)
st_rotp,st_spectype: Tipo espectral de la estrella según el sistema Morgan-Keenan
st_spectype,st_teff: Temperatura efectiva de la estrella (en grados K)
st_teff,st_vsin: Velocidad de rotación de la estrella (en km/s)
st_vsin,sy_dist: Distancia del sistema (en parsecs)
sy_dist,sy_plx: Paralaje del sistema (en miliarcosegundos)
sy_plx,sy_pm: Movimiento propio del sistema (en miliarcosegundos/año)
sy_pm,sy_pmdec: Movimiento propio del sistema en declinación (en miliarcosegundos/año)
sy_pmdec,sy_pmra: Movimiento propio del sistema en ascensión recta (en miliarcosegundos/año)
sy_pmra,sy_pnum: Número de planetas en el sistema
sy_pnum,sy_snum: Número de estrellas en el sistema
sy_snum,ttv_flag: Flag de tránsito de tiempo variante
ttv_flag,pl_name: Nombre del planeta
