"cb_flag","dec","decstr","discoverymethod","elat","elon","glat","glon","hd_name","hip_name","hostname","pl_bmasse","pl_bmassj","pl_bmassprov","pl_cmasse","pl_cmassj","pl_dens","pl_eqt","pl_imppar","pl_insol","pl_letter","pl_masse","pl_massj","pl_msinie","pl_msinij","pl_name","pl_occdep","pl_orbeccen","pl_orbincl","pl_orblper","pl_orbper","pl_orbsmax","pl_orbtper","pl_projobliq","pl_rade","pl_radj","pl_ratdor","pl_ratror","pl_rvamp","pl_trandep","pl_trandur","pl_tranmid","pl_trueobliq","pl_tsystemref","ra","rastr","soltype","st_age","st_dens","st_logg","st_lum","st_mass","st_met","st_metratio","st_rad","st_radv","st_rotp","st_spectype","st_teff","st_vsin","sy_dist","sy_plx","sy_pm","sy_pmdec","sy_pmra","sy_pnum","sy_snum","ttv_flag","pl_eqt_normalized","pl_insol_normalized","pl_orbsmax_normalized","id","phi_estimated"
0,47.7711541,"+47d46m16.15s","Transit",69.1483,304.3256,16.88885,78.48854,NA,NA,"KIC 10525077",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"KIC 10525077 b",NA,NA,89.861,NA,854.083,NA,NA,NA,5.5,0.491,239.3,0.05,NA,0.25,NA,2455168.236,NA,"BJD",287.3781164,"19h09m30.75s","Published Confirmed",NA,NA,4.42,NA,1.01,-0.04,"[Fe/H]",1.01,NA,NA,NA,6091,NA,1461.15,0.655604,4.2994345,0.0794711,4.2987,1,1,0,NA,NA,NA,1,0.738073616466169
0,38.6051867,"+38d36m18.67s","Transit",58.68276,309.35664,7.98057,72.43389,NA,NA,"KIC 3558849",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"KIC 3558849 b",NA,NA,89.973,NA,1322.3,NA,NA,NA,6.9,0.616,576.7,0.063,NA,0.3969,NA,2455112.92,NA,"BJD",294.9498381,"19h39m47.96s","Published Confirmed",NA,NA,4.44,NA,0.98,-0.42,"[Fe/H]",1.01,NA,NA,NA,6175,NA,1215.7,0.794438,3.3739262,2.89668,-1.72992,1,1,0,NA,NA,NA,2,0.530872714528842
0,46.3286653,"+46d19m43.20s","Transit",65.26643,318.62335,10.32377,80.05076,NA,NA,"KIC 9663113",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"KIC 9663113 b",NA,NA,89.768,NA,572.3847,NA,NA,NA,4.6,0.41,153.5,0.041,NA,0.1681,NA,2455139.506,NA,"BJD",297.0454037,"19h48m10.90s","Published Confirmed",NA,NA,4.42,NA,0.98,-0.28,"[Fe/H]",1.03,NA,NA,NA,6065,NA,1594.74,0.598486,9.0880462,-8.6061,-2.92021,2,1,0,NA,NA,NA,3,0.694177029551601
0,40.669413,"+40d40m09.89s","Transit",61.55856,305.06572,11.52808,72.93478,NA,NA,"KOI-142",9.5,0.03,"Mass",NA,NA,1.29,NA,NA,NA,"b",9.5,0.03,NA,NA,"KOI-142 b",NA,0.05561,90.97,NA,10.91647,NA,2454955.08069,NA,3.438,0.307,NA,0.03515,2.7,NA,NA,NA,NA,"BJD",291.1481028,"19h24m35.54s","Published Confirmed",NA,NA,NA,NA,0.99,0.27,"[Fe/H]",0.9,NA,NA,NA,5466,NA,376.863,2.62461,5.0864493,4.96287,1.1144,3,1,1,NA,NA,NA,4,-0.0107832903449566
0,40.669413,"+40d40m09.89s","Transit",61.55856,305.06572,11.52808,72.93478,NA,NA,"KOI-142",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"KOI-142 b",NA,NA,NA,NA,10.95307834,NA,NA,NA,NA,NA,NA,NA,NA,0.1487,3.7285,2454954.675215,NA,"BJD",291.1481028,"19h24m35.54s","Published Confirmed",NA,1.5017,4.45,-0.165,0.93,0.258,"[M/H]",0.96,NA,NA,NA,5368.85,NA,376.863,2.62461,5.0864493,4.96287,1.1144,3,1,1,NA,NA,NA,5,-0.00882491725723182
0,40.669413,"+40d40m09.89s","Transit",61.55856,305.06572,11.52808,72.93478,NA,NA,"KOI-142",NA,NA,NA,NA,NA,NA,NA,NA,68.56,"b",NA,NA,NA,NA,"KOI-142 b",NA,NA,NA,NA,NA,NA,NA,NA,3.823,0.341,NA,NA,NA,NA,NA,NA,NA,NA,291.1481028,"19h24m35.54s","Published Confirmed",NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA,NA,5466,NA,376.863,2.62461,5.0864493,4.96287,1.1144,3,1,1,NA,1,NA,6,-0.0107832903449566
0,40.669413,"+40d40m09.89s","Transit Timing Variations",61.55856,305.06572,11.52808,72.93478,NA,NA,"KOI-142",214.1,0.674,"Mass",NA,NA,NA,NA,NA,NA,"c",214.1,0.674,NA,NA,"KOI-142 c",NA,0.05724,93.15,NA,22.26492,NA,2454961.353,NA,NA,NA,NA,NA,47.9,NA,NA,NA,NA,"BJD",291.1481028,"19h24m35.54s","Published Confirmed",NA,NA,NA,NA,0.99,0.27,"[Fe/H]",0.9,NA,NA,NA,5466,NA,376.863,2.62461,5.0864493,4.96287,1.1144,3,1,0,NA,NA,NA,7,0.722093266826276
0,40.6184483,"+40d37m06.41s","Transit",59.65082,315.55122,6.67033,75.50723,NA,NA,"KOI-1599",4.6,0.01447,"Mass",NA,NA,NA,NA,NA,NA,"c",4.6,0.01447,NA,NA,"KOI-1599.01",NA,0.014,89.78,230.175,20.4415,0.14728,NA,NA,1.9,0.17,32.63,0.018,NA,NA,NA,2454952.73,NA,"BJD",298.3738383,"19h53m29.72s","Published Confirmed",NA,NA,NA,NA,1.02,NA,NA,0.97,NA,NA,NA,NA,NA,1131.64,0.855436,2.3766644,2.24123,-0.790836,2,1,1,NA,NA,0.1024,8,-0.0120444221551667
0,40.6184483,"+40d37m06.41s","Transit",59.65082,315.55122,6.67033,75.50723,NA,NA,"KOI-1599",9,0.02832,"Mass",NA,NA,NA,NA,NA,NA,"b",9,0.02832,NA,NA,"KOI-1599.02",NA,0.0114,88.6,49.951,13.6088,0.112293,NA,NA,1.9,0.17,24.89,0.0181,NA,NA,NA,2454960.32,NA,"BJD",298.3738383,"19h53m29.72s","Published Confirmed",NA,NA,NA,NA,1.02,NA,NA,0.97,NA,NA,NA,NA,NA,1131.64,0.855436,2.3766644,2.24123,-0.790836,2,1,1,NA,NA,0.0655715789473684,9,-0.0120444221551667
0,46.2858128,"+46d17m08.93s","Transit",65.86127,315.27706,11.6333,79.29221,NA,NA,"KOI-217",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"KOI-217 b",NA,NA,NA,NA,3.90508194,NA,NA,NA,NA,NA,NA,NA,NA,2.262,2.9415,2454966.415377,NA,"BJD",294.8654667,"19h39m27.71s","Published Confirmed",NA,1.5415,4.45,-0.169,0.93,0.11,"[M/H]",0.95,NA,NA,NA,5381,NA,914.699,1.06473,2.5768478,-1.07283,-2.3429,1,1,1,NA,NA,NA,10,0.740111558486955
