pl_name,hostname,pl_letter,hd_name,hip_name,sy_snum,sy_pnum,cb_flag,discoverymethod,soltype,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx
KIC 10525077 b,KIC 10525077,b,NA,NA,1,1,0,Transit,Published Confirmed,854.083,NA,5.5,0.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.861,2455168.236,BJD,0,NA,0.25,NA,239.3,0.05,NA,NA,NA,NA,NA,NA,NA,6091,1.01,1.01,-0.04,[Fe/H],NA,4.42,NA,NA,NA,NA,NA,19h09m30.75s,287.3781164,+47d46m16.15s,47.7711541,16.88885,78.48854,69.1483,304.3256,4.2994345,4.2987,0.0794711,1461.15,0.655604
KIC 3558849 b,KIC 3558849,b,NA,NA,1,1,0,Transit,Published Confirmed,1322.3,NA,6.9,0.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.973,2455112.92,BJD,0,NA,0.3969,NA,576.7,0.063,NA,NA,NA,NA,NA,NA,NA,6175,1.01,0.98,-0.42,[Fe/H],NA,4.44,NA,NA,NA,NA,NA,19h39m47.96s,294.9498381,+38d36m18.67s,38.6051867,7.98057,72.43389,58.68276,309.35664,3.3739262,-1.72992,2.89668,1215.7,0.794438
KIC 9663113 b,KIC 9663113,b,NA,NA,1,2,0,Transit,Published Confirmed,572.3847,NA,4.6,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.768,2455139.506,BJD,0,NA,0.1681,NA,153.5,0.041,NA,NA,NA,NA,NA,NA,NA,6065,1.03,0.98,-0.28,[Fe/H],NA,4.42,NA,NA,NA,NA,NA,19h48m10.90s,297.0454037,+46d19m43.20s,46.3286653,10.32377,80.05076,65.26643,318.62335,9.0880462,-2.92021,-8.6061,1594.74,0.598486
KOI-142 b,KOI-142,b,NA,NA,1,3,0,Transit,Published Confirmed,10.91647,NA,3.438,0.307,9.5,0.03,NA,NA,NA,NA,9.5,0.03,Mass,1.29,0.05561,NA,NA,90.97,NA,BJD,1,NA,NA,NA,NA,0.03515,NA,2454955.08069,NA,2.7,NA,NA,NA,5466,0.9,0.99,0.27,[Fe/H],NA,NA,NA,NA,NA,NA,NA,19h24m35.54s,291.1481028,+40d40m09.89s,40.669413,11.52808,72.93478,61.55856,305.06572,5.0864493,1.1144,4.96287,376.863,2.62461
KOI-142 b,KOI-142,b,NA,NA,1,3,0,Transit,Published Confirmed,10.95307834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454954.675215,BJD,1,NA,0.1487,3.7285,NA,NA,NA,NA,NA,NA,NA,NA,NA,5368.85,0.96,0.93,0.258,[M/H],-0.165,4.45,NA,1.5017,NA,NA,NA,19h24m35.54s,291.1481028,+40d40m09.89s,40.669413,11.52808,72.93478,61.55856,305.06572,5.0864493,1.1144,4.96287,376.863,2.62461
KOI-142 b,KOI-142,b,NA,NA,1,3,0,Transit,Published Confirmed,NA,NA,3.823,0.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.56,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5466,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h24m35.54s,291.1481028,+40d40m09.89s,40.669413,11.52808,72.93478,61.55856,305.06572,5.0864493,1.1144,4.96287,376.863,2.62461
KOI-142 c,KOI-142,c,NA,NA,1,3,0,Transit Timing Variations,Published Confirmed,22.26492,NA,NA,NA,214.1,0.674,NA,NA,NA,NA,214.1,0.674,Mass,NA,0.05724,NA,NA,93.15,NA,BJD,0,NA,NA,NA,NA,NA,NA,2454961.353,NA,47.9,NA,NA,NA,5466,0.9,0.99,0.27,[Fe/H],NA,NA,NA,NA,NA,NA,NA,19h24m35.54s,291.1481028,+40d40m09.89s,40.669413,11.52808,72.93478,61.55856,305.06572,5.0864493,1.1144,4.96287,376.863,2.62461
KOI-1599.01,KOI-1599,c,NA,NA,1,2,0,Transit,Published Confirmed,20.4415,0.14728,1.9,0.17,4.6,0.01447,NA,NA,NA,NA,4.6,0.01447,Mass,NA,0.014,NA,NA,89.78,2454952.73,BJD,1,NA,NA,NA,32.63,0.018,NA,NA,230.175,NA,NA,NA,NA,NA,0.97,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h53m29.72s,298.3738383,+40d37m06.41s,40.6184483,6.67033,75.50723,59.65082,315.55122,2.3766644,-0.790836,2.24123,1131.64,0.855436
KOI-1599.02,KOI-1599,b,NA,NA,1,2,0,Transit,Published Confirmed,13.6088,0.112293,1.9,0.17,9,0.02832,NA,NA,NA,NA,9,0.02832,Mass,NA,0.0114,NA,NA,88.6,2454960.32,BJD,1,NA,NA,NA,24.89,0.0181,NA,NA,49.951,NA,NA,NA,NA,NA,0.97,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h53m29.72s,298.3738383,+40d37m06.41s,40.6184483,6.67033,75.50723,59.65082,315.55122,2.3766644,-0.790836,2.24123,1131.64,0.855436
KOI-217 b,KOI-217,b,NA,NA,1,1,0,Transit,Published Confirmed,3.90508194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.415377,BJD,1,NA,2.262,2.9415,NA,NA,NA,NA,NA,NA,NA,NA,NA,5381,0.95,0.93,0.11,[M/H],-0.169,4.45,NA,1.5415,NA,NA,NA,19h39m27.71s,294.8654667,+46d17m08.93s,46.2858128,11.6333,79.29221,65.86127,315.27706,2.5768478,-2.3429,-1.07283,914.699,1.06473
